actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
430,PT02M18.00S,2020-09-28T01:19:05.4Z,3,REGULAR,substitution,in,[],203935,,,1610612738,84,76,2020-09-28T01:19:09Z,4230000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
431,PT02M04.00S,2020-09-28T01:19:25.9Z,3,REGULAR,3pt,jumpshot,[],202689,27.283180026281208,17.47089460784314,1610612738,84,79,2020-09-28T01:19:31Z,4240000,163.0,204.0,1,left,K. Walker 27' 3PT  (14 PTS) (J. Brown 2 AST),"[202689, 1627759]",1610612738.0,BOS,stepback,,,Walker,K. Walker,,,,,26.52,Made,,,,,,,,,,14.0,,,,,,J. Brown,1627759.0,2.0
433,PT01M42.00S,2020-09-28T01:19:48.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],201609,94.69448094612353,52.029718137254896,1610612748,86,79,2020-09-28T01:19:53Z,4260000,10.0,-3.0,1,right,G. Dragic Layup (11 PTS),[201609],1610612748.0,MIA,drivingfingerroll,,,Dragic,G. Dragic,,,,,1.05,Made,,,,,,,,,,11.0,,,,,,,,
434,PT01M28.00S,2020-09-28T01:20:02.4Z,3,REGULAR,3pt,jumpshot,[],203935,27.54599211563732,79.23560049019608,1610612738,86,79,2020-09-28T01:20:06Z,4270000,-146.0,206.0,1,left,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,
435,PT01M27.00S,2020-09-28T01:20:03.4Z,3,REGULAR,rebound,offensive,[],1627759,,,1610612738,86,79,2020-09-28T01:20:11Z,4280000,,,0,,J. Brown REBOUND (Off:1 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,434.0,6.0,5.0,1.0,,,,,,,,,,,,,,
436,PT01M27.00S,2020-09-28T01:20:06.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,6.1268068331143235,47.127757352941174,1610612738,86,81,2020-09-28T01:20:14Z,4290000,14.0,5.0,1,left,J. Brown Layup (15 PTS),[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,1.79,Made,,,,,,,,,,15.0,,,,,,,,
437,PT01M05.00S,2020-09-28T01:20:24.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],201609,92.9862023653088,53.50030637254902,1610612748,86,81,2020-09-28T01:20:27Z,4300000,18.0,13.0,1,right,MISS G. Dragic Layup,[201609],1610612748.0,MIA,driving,,,Dragic,G. Dragic,,,,,2.58,Missed,,,,,,,,,,,,,,,,,,
438,PT01M04.00S,2020-09-28T01:20:25.9Z,3,REGULAR,rebound,defensive,[],1629684,,,1610612738,86,81,2020-09-28T01:20:27Z,4310000,,,0,,G. Williams REBOUND (Off:0 Def:3),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,437.0,3.0,3.0,0.0,,,,,,,,,,,,,,
439,PT01M00.00S,2020-09-28T01:20:32.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,7.046649145860711,45.166973039215684,1610612738,86,83,2020-09-28T01:20:38Z,4320000,24.0,14.0,1,left,J. Brown Layup (17 PTS) (K. Walker 4 AST),"[1627759, 202689]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,3.09,Made,,,,,,,,,,17.0,,,,,,K. Walker,202689.0,4.0
441,PT01M00.00S,2020-09-28T01:20:42.3Z,3,REGULAR,foul,personal,['1freethrow'],203109,,,1610612738,86,83,2020-09-28T01:20:47Z,4340000,,,0,,J. Crowder personal FOUL (2 PF) (Brown 1 FT),"[203109, 1627759]",1610612748.0,MIA,shooting,,,Crowder,J. Crowder,,,,,,,,,,,1830.0,2.0,0.0,Brown,1627759.0,,,,,,,,,
