actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
276,PT02M33.00S,2021-02-25T01:28:23.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203991,6.652431011826544,40.510110294117645,1610612737,68,41,2021-02-25T01:28:29Z,2760000,47.0,10.0,1,left,C. Capela Hook (4 PTS) (T. Snell 4 AST),"[203991, 203503]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,4.84,Made,,4.0,T. Snell,203503.0,4.0,,,,,,,,,,,,,
278,PT02M33.00S,2021-02-25T01:28:30.2Z,2,REGULAR,timeout,full,['team'],0,,,1610612738,68,41,2021-02-25T01:28:39Z,2780000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,PT02M33.00S,2021-02-25T01:29:33.0Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,68,41,2021-02-25T01:30:11Z,2790000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
280,PT02M33.00S,2021-02-25T01:29:33.0Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,68,41,2021-02-25T01:30:11Z,2800000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
281,PT02M22.00S,2021-02-25T01:30:18.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,90.48948751642575,63.794424019607845,1610612738,68,43,2021-02-25T01:30:23Z,2810000,69.0,37.0,1,right,J. Brown 7' pullup Jump Shot (8 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,7.82,Made,,8.0,,,,,,,,,,,,,,,,
282,PT02M05.00S,2021-02-25T01:30:35.5Z,2,REGULAR,3pt,Jump Shot,[],201568,26.363337713534822,80.95128676470588,1610612737,68,43,2021-02-25T01:30:42Z,2820000,-155.0,195.0,1,left,MISS D. Gallinari 24' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,24.92,Missed,,,,,,,,,,,,,,,,,,
283,PT01M59.00S,2021-02-25T01:30:41.5Z,2,REGULAR,rebound,defensive,[],201952,,,1610612738,68,43,2021-02-25T01:30:42Z,2830000,,,0,,J. Teague REBOUND (Off:0 Def:3),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,282.0,,,,,,,3.0,3.0,0.0,,,,,,,,
284,PT01M54.00S,2021-02-25T01:30:45.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,88.91261498028909,94.921875,1610612738,68,43,2021-02-25T01:30:51Z,2840000,225.0,52.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.05,Missed,,,,,,,,,,,,,,,,,,
285,PT01M52.00S,2021-02-25T01:30:47.7Z,2,REGULAR,rebound,defensive,[],1629027,,,1610612737,68,43,2021-02-25T01:30:51Z,2850000,,,0,,T. Young REBOUND (Off:2 Def:2),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,284.0,,,,,,,4.0,2.0,2.0,,,,,,,,
286,PT01M45.00S,2021-02-25T01:30:55.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,16.245072273324574,48.353247549019606,1610612737,70,43,2021-02-25T01:31:00Z,2860000,8.0,100.0,1,left,T. Young 10' driving floating Jump Shot (23 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,10.05,Made,,23.0,,,,,,,,,,,,,,,,
287,PT01M31.00S,2021-02-25T01:31:09.6Z,2,REGULAR,3pt,Jump Shot,[],201952,72.7496714848883,19.431678921568626,1610612738,70,43,2021-02-25T01:31:15Z,2870000,-153.0,204.0,1,right,MISS J. Teague 25' 3PT,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,25.46,Missed,,,,,,,,,,,,,,,,,,
288,PT01M30.00S,2021-02-25T01:31:10.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,70,43,2021-02-25T01:31:15Z,2880000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,287.0,,,,,,,,,,,,,,,,,
289,PT01M30.00S,2021-02-25T01:31:15.9Z,2,REGULAR,foul,personal,[],203991,,,1610612738,70,43,2021-02-25T01:31:35Z,2890000,,,0,,C. Capela loose ball personal FOUL (2 PF),"[203991, 202684]",1610612737.0,ATL,loose ball,,,Capela,C. Capela,,,,,,,,,,,,,,,,,202041.0,2.0,0.0,Thompson,202684.0,,,
291,PT01M19.00S,2021-02-25T01:31:39.9Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",202684,88.64980289093299,49.08854166666667,1610612738,70,45,2021-02-25T01:34:25Z,2910000,-5.0,54.0,1,right,T. Thompson Hook (8 PTS) (J. Teague 3 AST),"[202684, 201952]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,5.44,Made,,8.0,J. Teague,201952.0,3.0,,,,,,,,,,,,,
293,PT01M13.00S,2021-02-25T01:31:55.6Z,2,REGULAR,stoppage,equipment issue,[],0,,,1610612737,70,45,2021-02-25T01:31:55Z,2930000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT01M06.00S,2021-02-25T01:32:04.6Z,2,REGULAR,3pt,Jump Shot,[],1629027,43.314717477003946,55.951286764705884,1610612737,70,45,2021-02-25T01:32:09Z,2940000,-30.0,355.0,1,left,MISS T. Young 35' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,35.59,Missed,,,,,,,,,,,,,,,,,,
295,PT01M04.00S,2021-02-25T01:32:06.6Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,70,45,2021-02-25T01:32:09Z,2950000,,,0,,T. Thompson REBOUND (Off:4 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,294.0,,,,,,,7.0,3.0,4.0,,,,,,,,
296,PT00M59.40S,2021-02-25T01:32:14.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201568,,,1610612738,70,45,2021-02-25T01:32:29Z,2960000,,,0,,D. Gallinari shooting personal FOUL (2 PF) (Tatum 2 FT),"[201568, 1628369]",1610612737.0,ATL,shooting,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,200833.0,2.0,0.0,Tatum,1628369.0,,,
298,PT00M59.40S,2021-02-25T01:32:34.2Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,70,46,2021-02-25T01:32:34Z,2980000,,,0,,J. Tatum Free Throw 1 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
299,PT00M59.40S,2021-02-25T01:32:46.2Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,70,47,2021-02-25T01:32:46Z,2990000,,,0,,J. Tatum Free Throw 2 of 2 (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,6.0,,,,,,,,,,,,,,,,
300,PT00M34.90S,2021-02-25T01:33:12.3Z,2,REGULAR,2pt,Jump Shot,[],201568,23.340998685939553,80.4610906862745,1610612737,70,47,2021-02-25T01:33:19Z,3000000,-152.0,167.0,1,left,MISS D. Gallinari 22' Jump Shot,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,22.59,Missed,,,,,,,,,,,,,,,,,,
301,PT00M29.60S,2021-02-25T01:33:17.6Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,70,47,2021-02-25T01:33:17Z,3010000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,300.0,,,,,,,1.0,1.0,0.0,,,,,,,,
302,PT00M18.90S,2021-02-25T01:33:28.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,92.72339027595268,50.55912990196079,1610612738,70,47,2021-02-25T01:33:34Z,3020000,3.0,16.0,1,right,MISS T. Thompson turnaround Shot,[202684],1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,1.61,Missed,,,,,,,,,,,,,,,,,,
303,PT00M17.40S,2021-02-25T01:33:32.5Z,2,REGULAR,rebound,offensive,[],1629750,,,1610612738,70,47,2021-02-25T01:33:32Z,3030000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,302.0,,,,,,,1.0,0.0,1.0,,,,,,,,
304,PT00M17.40S,2021-02-25T01:33:32.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629750,94.40999984741211,50.0,1610612738,70,49,2021-02-25T01:33:32Z,3040000,0.0,0.0,1,right,J. Green tip Layup (4 PTS),[1629750],1610612738.0,BOS,tip,,,Green,J. Green,,,,,0.0,Made,,4.0,,,,,,,,,,,,,,,,
305,PT00M13.90S,2021-02-25T01:33:41.3Z,2,REGULAR,stoppage,equipment issue,[],0,,,1610612737,70,49,2021-02-25T01:33:41Z,3050000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT00M05.80S,2021-02-25T01:34:04.5Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612737,70,49,2021-02-25T01:34:27Z,3060000,,,0,,J. Brown personal FOUL (1 PF) (Young 2 FT),"[1627759, 1629027]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Young,1629027.0,,,
308,PT00M05.80S,2021-02-25T01:34:29.7Z,2,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,71,49,2021-02-25T01:34:29Z,3080000,,,0,,T. Young Free Throw 1 of 2 (24 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,24.0,,,,,,,,,,,,,,,,
309,PT00M05.80S,2021-02-25T01:34:32.7Z,2,REGULAR,substitution,out,[],1628989,,,1610612737,71,49,2021-02-25T01:34:45Z,3090000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
310,PT00M05.80S,2021-02-25T01:34:32.7Z,2,REGULAR,substitution,out,[],201568,,,1610612737,71,49,2021-02-25T01:34:45Z,3100000,,,0,,SUB out: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
311,PT00M05.80S,2021-02-25T01:34:32.7Z,2,REGULAR,substitution,in,[],203524,,,1610612737,71,49,2021-02-25T01:34:45Z,3110000,,,0,,SUB in: S. Hill,[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,
312,PT00M05.80S,2021-02-25T01:34:32.7Z,2,REGULAR,substitution,in,[],200765,,,1610612737,71,49,2021-02-25T01:34:45Z,3120000,,,0,,SUB in: R. Rondo,[200765],1610612737.0,ATL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,
313,PT00M05.80S,2021-02-25T01:34:52.6Z,2,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,72,49,2021-02-25T01:34:52Z,3130000,,,0,,T. Young Free Throw 2 of 2 (25 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,25.0,,,,,,,,,,,,,,,,
314,PT00M01.00S,2021-02-25T01:35:00.0Z,2,REGULAR,3pt,Jump Shot,[],1628369,70.51576872536137,22.37285539215686,1610612738,72,49,2021-02-25T01:35:09Z,3140000,-138.0,225.0,1,right,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.37,Missed,,,,,,,,,,,,,,,,,,
315,PT00M01.00S,2021-02-25T01:35:00.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,72,49,2021-02-25T01:35:09Z,3150000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,314.0,,,,,,,,,,,,,,,,,
316,PT00M00.00S,2021-02-25T01:35:08.1Z,2,REGULAR,period,end,[],0,,,1610612738,72,49,2021-02-25T01:35:08Z,3160000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT12M00.00S,2021-02-25T01:48:48.2Z,3,REGULAR,substitution,out,['startperiod'],203524,,,1610612738,72,49,2021-02-25T01:50:17Z,3170000,,,0,,SUB out: S. Hill,[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,
318,PT12M00.00S,2021-02-25T01:48:48.2Z,3,REGULAR,substitution,out,['startperiod'],200765,,,1610612738,72,49,2021-02-25T01:50:17Z,3180000,,,0,,SUB out: R. Rondo,[200765],1610612737.0,ATL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,
319,PT12M00.00S,2021-02-25T01:48:48.2Z,3,REGULAR,substitution,out,['startperiod'],1629750,,,1610612738,72,49,2021-02-25T01:50:17Z,3190000,,,0,,SUB out: J. Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
320,PT12M00.00S,2021-02-25T01:48:48.2Z,3,REGULAR,substitution,in,['startperiod'],1628381,,,1610612738,72,49,2021-02-25T01:50:17Z,3200000,,,0,,SUB in: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
321,PT12M00.00S,2021-02-25T01:48:48.2Z,3,REGULAR,substitution,in,['startperiod'],1628989,,,1610612738,72,49,2021-02-25T01:50:17Z,3210000,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
322,PT12M00.00S,2021-02-25T01:48:48.2Z,3,REGULAR,substitution,in,['startperiod'],1628464,,,1610612738,72,49,2021-02-25T01:50:17Z,3220000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
323,PT12M00.00S,2021-02-25T01:50:26.7Z,3,REGULAR,period,start,[],0,,,1610612738,72,49,2021-02-25T01:50:26Z,3230000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT11M47.00S,2021-02-25T01:50:38.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.1268068331143235,48.353247549019606,1610612738,72,51,2021-02-25T01:51:44Z,3240000,8.0,5.0,1,left,J. Tatum Layup (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,0.97,Made,,8.0,,,,,,,,,,,,,,,,
325,PT11M29.00S,2021-02-25T01:50:56.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,81.15965834428384,60.60814950980392,1610612737,72,51,2021-02-25T01:51:01Z,3250000,53.0,125.0,1,right,MISS K. Huerter 13' pullup Shot,[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,13.54,Missed,,,,,,,,,,,,,,,,,,
326,PT11M25.00S,2021-02-25T01:51:00.1Z,3,REGULAR,rebound,offensive,[],203991,,,1610612737,72,51,2021-02-25T01:51:00Z,3260000,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,325.0,,,,,,,4.0,3.0,1.0,,,,,,,,
327,PT11M25.00S,2021-02-25T01:51:00.1Z,3,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203991,94.40999984741211,50.0,1610612737,72,51,2021-02-25T02:14:06Z,3270000,0.0,0.0,1,right,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
328,PT11M24.00S,2021-02-25T01:51:01.1Z,3,REGULAR,rebound,defensive,[],202684,,,1610612738,72,51,2021-02-25T02:14:06Z,3280000,,,0,,T. Thompson REBOUND (Off:4 Def:4),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,327.0,,,,,,,8.0,4.0,4.0,,,,,,,,
329,PT11M20.00S,2021-02-25T01:51:05.2Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,10.200394218134035,3.990502450980392,1610612738,72,51,2021-02-25T01:51:13Z,3290000,230.0,43.0,1,left,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,
330,PT11M19.00S,2021-02-25T01:51:06.2Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612737,72,51,2021-02-25T01:51:13Z,3300000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,329.0,,,,,,,,,,,,,,,,,
331,PT11M19.00S,2021-02-25T01:51:13.4Z,3,REGULAR,foul,personal,[],202684,,,1610612737,72,51,2021-02-25T01:51:20Z,3310000,,,0,,T. Thompson loose ball personal FOUL (2 PF),"[202684, 1628381]",1610612738.0,BOS,loose ball,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,1627963.0,2.0,0.0,Collins,1628381.0,,,
333,PT11M12.00S,2021-02-25T01:51:29.7Z,3,REGULAR,turnover,traveling,[],1628989,,,1610612737,72,51,2021-02-25T01:51:36Z,3330000,,,0,,K. Huerter traveling TURNOVER (2 TO),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,202041.0,,,,,2.0,,
334,PT11M01.00S,2021-02-25T01:51:51.9Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1628464,10.33180026281209,28.745404411764707,1610612738,72,51,2021-02-25T01:51:57Z,3340000,106.0,45.0,1,left,MISS D. Theis 11' Jump Shot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,11.53,Missed,,,,,,,,,,,,,,,,,,
335,PT10M57.00S,2021-02-25T01:51:55.9Z,3,REGULAR,rebound,defensive,[],203991,,,1610612737,72,51,2021-02-25T01:51:57Z,3350000,,,0,,C. Capela REBOUND (Off:1 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,334.0,,,,,,,5.0,4.0,1.0,,,,,,,,
336,PT10M51.00S,2021-02-25T01:52:01.3Z,3,REGULAR,3pt,Jump Shot,[],1628381,73.53810775295663,17.47089460784314,1610612737,72,51,2021-02-25T01:52:05Z,3360000,-163.0,196.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,
337,PT10M48.00S,2021-02-25T01:52:04.3Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,72,51,2021-02-25T01:52:05Z,3370000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,336.0,,,,,,,2.0,2.0,0.0,,,,,,,,
338,PT10M41.00S,2021-02-25T01:52:15.4Z,3,REGULAR,foul,personal,[],203503,,,1610612738,72,51,2021-02-25T01:52:23Z,3380000,,,0,,T. Snell personal FOUL (2 PF),"[203503, 1628369]",1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,1627963.0,2.0,0.0,Tatum,1628369.0,,,
340,PT10M28.00S,2021-02-25T01:52:43.3Z,3,REGULAR,turnover,lost ball,[],201952,,,1610612738,72,51,2021-02-25T01:52:49Z,3400000,,,0,,J. Teague lost ball TURNOVER (1 TO),"[201952, 1629027]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,1.0,Young,1629027.0
341,PT10M28.00S,2021-02-25T01:52:43.3Z,3,REGULAR,steal,,[],1629027,,,1610612737,72,51,2021-02-25T01:52:47Z,3410000,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
342,PT10M23.00S,2021-02-25T01:52:48.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629027,94.43166885676742,50.06893382352941,1610612737,72,51,2021-02-25T01:52:53Z,3420000,0.0,0.0,1,right,MISS T. Young running Layup - blocked,"[1629027, 201952]",1610612737.0,ATL,running,,,Young,T. Young,,,,,0.04,Missed,,,,,,Teague,201952.0,,,,,,,,,,,
343,PT10M23.00S,2021-02-25T01:52:48.7Z,3,REGULAR,block,,[],201952,,,1610612737,72,51,2021-02-25T02:00:33Z,3430000,,,0,,J. Teague BLOCK (1 BLK),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,
344,PT10M20.00S,2021-02-25T01:52:51.7Z,3,REGULAR,rebound,defensive,[],201952,,,1610612738,72,51,2021-02-25T02:00:17Z,3440000,,,0,,J. Teague REBOUND (Off:0 Def:4),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,342.0,,,,,,,4.0,4.0,0.0,,,,,,,,
345,PT10M17.00S,2021-02-25T01:52:54.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,6.389618922470433,48.59834558823529,1610612738,72,51,2021-02-25T01:52:58Z,3450000,7.0,8.0,1,left,MISS J. Brown running Layup,[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,1.03,Missed,,,,,,,,,,,,,,,,,,
346,PT10M14.00S,2021-02-25T01:52:57.4Z,3,REGULAR,rebound,defensive,[],203991,,,1610612737,72,51,2021-02-25T01:52:58Z,3460000,,,0,,C. Capela REBOUND (Off:1 Def:5),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,345.0,,,,,,,6.0,5.0,1.0,,,,,,,,
347,PT10M09.00S,2021-02-25T01:53:01.8Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1628989,89.43823915900131,96.14736519607843,1610612737,72,51,2021-02-25T01:53:06Z,3470000,231.0,47.0,1,right,MISS K. Huerter 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,23.54,Missed,,,,,,,,,,,,,,,,,,
348,PT10M06.00S,2021-02-25T01:53:04.8Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,72,51,2021-02-25T01:53:06Z,3480000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,347.0,,,,,,,3.0,3.0,0.0,,,,,,,,
349,PT10M02.00S,2021-02-25T01:53:09.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,5.863994743758213,50.314031862745104,1610612738,72,51,2021-02-25T01:53:14Z,3490000,-2.0,3.0,1,left,MISS J. Brown running Layup,[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,0.31,Missed,,,,,,,,,,,,,,,,,,
350,PT09M59.00S,2021-02-25T01:53:12.4Z,3,REGULAR,rebound,defensive,[],203991,,,1610612737,72,51,2021-02-25T01:53:14Z,3500000,,,0,,C. Capela REBOUND (Off:1 Def:6),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,349.0,,,,,,,7.0,6.0,1.0,,,,,,,,
351,PT09M52.00S,2021-02-25T01:53:20.7Z,3,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612737,72,51,2021-02-25T01:53:42Z,3510000,,,0,,D. Theis shooting personal FOUL (1 PF) (Capela 2 FT),"[1628464, 203991]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Capela,203991.0,,,
353,PT09M52.00S,2021-02-25T01:53:46.3Z,3,REGULAR,freethrow,1 of 2,[],203991,,,1610612737,72,51,2021-02-25T01:53:46Z,3530000,,,0,,MISS C. Capela Free Throw 1 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Missed,,,,,,,,,,,,,,,,,,
354,PT09M52.00S,2021-02-25T01:53:46.3Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,72,51,2021-02-25T01:53:46Z,3540000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,353.0,,,,,,,,,,,,,,,,,
355,PT09M52.00S,2021-02-25T01:54:07.5Z,3,REGULAR,violation,lane,[],1627759,,,1610612737,72,51,2021-02-25T01:54:07Z,3550000,,,0,,J. Brown lane VIOLATION,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
356,PT09M52.00S,2021-02-25T01:54:23.2Z,3,REGULAR,freethrow,2 of 2,[],203991,,,1610612737,73,51,2021-02-25T01:54:23Z,3560000,,,0,,C. Capela Free Throw 2 of 2 (5 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
357,PT09M45.00S,2021-02-25T01:54:33.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],201952,6.915243101182654,51.049325980392155,1610612738,73,53,2021-02-25T01:54:38Z,3570000,-5.0,13.0,1,left,J. Teague driving Layup (7 PTS),[201952],1610612738.0,BOS,driving,,,Teague,J. Teague,,,,,1.35,Made,,7.0,,,,,,,,,,,,,,,,
358,PT09M32.00S,2021-02-25T01:54:46.0Z,3,REGULAR,3pt,Jump Shot,[],203503,92.06636005256242,95.41207107843137,1610612737,73,53,2021-02-25T01:54:51Z,3580000,227.0,22.0,1,right,MISS T. Snell 3PT,[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,
359,PT09M28.00S,2021-02-25T01:54:50.0Z,3,REGULAR,rebound,defensive,[],201952,,,1610612738,73,53,2021-02-25T01:54:51Z,3590000,,,0,,J. Teague REBOUND (Off:0 Def:5),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,358.0,,,,,,,5.0,5.0,0.0,,,,,,,,
360,PT09M27.00S,2021-02-25T01:54:54.2Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627759,5.075558475689881,50.06893382352941,1610612738,73,55,2021-02-25T01:55:28Z,3600000,0.0,-5.0,1,left,J. Brown driving Layup (10 PTS) (J. Teague 4 AST),"[1627759, 201952]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,0.48,Made,,10.0,J. Teague,201952.0,4.0,,,,,,,,,,,,,
362,PT09M27.00S,2021-02-25T01:55:05.4Z,3,REGULAR,foul,personal,['1freethrow'],1628381,,,1610612738,73,55,2021-02-25T01:55:24Z,3620000,,,0,,J. Collins shooting personal FOUL (2 PF) (Brown 1 FT),"[1628381, 1627759]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,,,,,,,,,,,,,200833.0,2.0,0.0,Brown,1627759.0,,,
