actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
273,PT06M00.00S,2021-04-14T03:02:44.4Z,2,REGULAR,rebound,offensive,[],202683,,,1610612757,45,39,2021-04-14T03:07:01Z,2720000,,,0,,E. Kanter REBOUND (Off:2 Def:3),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,272.0,5.0,3.0,2.0,,,,,
274,PT05M47.00S,2021-04-14T03:02:58.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203496,6.521024967148489,45.90226715686275,1610612757,47,39,2021-04-14T03:03:21Z,2730000,20.0,9.0,1,left,R. Covington driving finger roll Layup (6 PTS) (C. Anthony 1 AST),"[203496, 2546]",1610612757.0,POR,driving finger roll,,,Covington,R. Covington,,,,,2.23,Made,6.0,C. Anthony,2546.0,1.0,,,,,,,,,,,,,,,
276,PT05M33.00S,2021-04-14T03:03:11.5Z,2,REGULAR,3pt,Jump Shot,[],203935,93.9060446780552,2.2748161764705883,1610612738,47,42,2021-04-14T03:03:16Z,2750000,-239.0,5.0,1,right,M. Smart 3PT  (5 PTS) (J. Tatum 3 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.86,Made,5.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,,,,
278,PT05M13.00S,2021-04-14T03:03:31.5Z,2,REGULAR,2pt,Jump Shot,[],203468,21.107095926412615,23.353247549019606,1610612757,47,42,2021-04-14T03:03:40Z,2770000,133.0,146.0,1,left,MISS C. McCollum 19' pullup Shot,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,19.76,Missed,,,,,,,,,,,,,,,,,,,
279,PT05M07.00S,2021-04-14T03:03:37.5Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,47,42,2021-04-14T03:03:40Z,2780000,,,0,,J. Brown REBOUND (Off:2 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,278.0,4.0,2.0,2.0,,,,,
280,PT05M07.00S,2021-04-14T03:03:38.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,93.51182654402102,50.80422794117647,1610612738,47,44,2021-04-14T03:03:44Z,2790000,4.0,8.0,1,right,J. Brown running Layup (8 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,0.94,Made,8.0,,,,,,,,,,,,,,,,,,
281,PT04M53.00S,2021-04-14T03:03:51.4Z,2,REGULAR,turnover,bad pass,[],202683,,,1610612757,47,44,2021-04-14T03:03:54Z,2800000,,,0,,E. Kanter bad pass TURNOVER (1 TO),"[202683, 203935]",1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,1.0,,,,,Smart,203935.0,,,
282,PT04M53.00S,2021-04-14T03:03:51.4Z,2,REGULAR,steal,,[],203935,,,1610612738,47,44,2021-04-14T03:03:53Z,2810000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
284,PT04M50.00S,2021-04-14T03:04:02.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,91.27792378449409,50.80422794117647,1610612738,47,44,2021-04-14T03:04:16Z,2830000,4.0,29.0,1,right,MISS J. Brown running Layup - blocked,"[1627759, 2546]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,2.98,Missed,,,,,,,,,,,,,,,,,Anthony,2546.0,
285,PT04M50.00S,2021-04-14T03:04:02.9Z,2,REGULAR,block,,[],2546,,,1610612738,47,44,2021-04-14T03:05:29Z,2840000,,,0,,C. Anthony BLOCK (1 BLK),[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT04M50.00S,2021-04-14T03:04:02.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,47,44,2021-04-14T03:04:16Z,2850000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,284.0,,,,,,,,
287,PT04M50.00S,2021-04-14T03:04:07.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,47,44,2021-04-14T03:04:07Z,2860000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT04M50.00S,2021-04-14T03:04:07.9Z,2,REGULAR,substitution,out,[],2546,,,1610612738,47,44,2021-04-14T03:04:23Z,2870000,,,0,,SUB out: C. Anthony,[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT04M50.00S,2021-04-14T03:04:07.9Z,2,REGULAR,substitution,out,[],203468,,,1610612738,47,44,2021-04-14T03:04:23Z,2880000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT04M50.00S,2021-04-14T03:04:07.9Z,2,REGULAR,substitution,out,[],202684,,,1610612738,47,44,2021-04-14T03:04:23Z,2890000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT04M50.00S,2021-04-14T03:04:07.9Z,2,REGULAR,substitution,in,[],203081,,,1610612738,47,44,2021-04-14T03:04:23Z,2900000,,,0,,SUB in: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT04M50.00S,2021-04-14T03:04:07.9Z,2,REGULAR,substitution,in,[],1626181,,,1610612738,47,44,2021-04-14T03:04:23Z,2910000,,,0,,SUB in: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT04M50.00S,2021-04-14T03:04:07.9Z,2,REGULAR,substitution,in,[],1629057,,,1610612738,47,44,2021-04-14T03:04:23Z,2920000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT04M43.00S,2021-04-14T03:04:34.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628369,90.88370565045992,4.970894607843137,1610612738,47,47,2021-04-14T03:04:38Z,2930000,-225.0,33.0,1,right,J. Tatum 3PT  (7 PTS) (K. Walker 3 AST),"[1628369, 202689]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,22.75,Made,7.0,K. Walker,202689.0,3.0,,,,,,,,,,,,,,,
296,PT04M20.00S,2021-04-14T03:04:57.6Z,2,REGULAR,turnover,lost ball,[],1626181,,,1610612757,47,47,2021-04-14T03:05:01Z,2950000,,,0,,N. Powell lost ball TURNOVER (1 TO),"[1626181, 1627759]",1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,1.0,,,,,Brown,1627759.0,,,
297,PT04M20.00S,2021-04-14T03:04:57.6Z,2,REGULAR,steal,,[],1627759,,,1610612738,47,47,2021-04-14T03:04:59Z,2960000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT04M14.00S,2021-04-14T03:05:04.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202689,92.9862023653088,46.14736519607843,1610612738,47,49,2021-04-14T03:05:08Z,2970000,-19.0,13.0,1,right,K. Walker driving Layup (14 PTS) (M. Smart 4 AST),"[202689, 203935]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.35,Made,14.0,M. Smart,203935.0,4.0,,,,,,,,,,,,,,,
299,PT04M14.00S,2021-04-14T03:05:14.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,47,49,2021-04-14T03:05:15Z,2980000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT03M57.00S,2021-04-14T03:08:48.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,5.732588699080158,52.27481617647059,1610612757,49,49,2021-04-14T03:08:51Z,2990000,-11.0,1.0,1,left,N. Powell driving Layup (10 PTS),[1626181],1610612757.0,POR,driving,,,Powell,N. Powell,,,,,1.15,Made,10.0,,,,,,,,,,,,,,,,,,
301,PT03M48.00S,2021-04-14T03:08:59.7Z,2,REGULAR,foul,personal,[],1629642,,,1610612738,49,49,2021-04-14T03:09:06Z,3000000,,,0,,N. Little personal FOUL (1 PF),"[1629642, 1627759]",1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,2715.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
303,PT03M38.00S,2021-04-14T03:09:20.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,81.8166885676741,39.5297181372549,1610612738,49,49,2021-04-14T03:09:24Z,3020000,-52.0,118.0,1,right,MISS J. Tatum 12' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,12.95,Missed,,,,,,,,,,,,,,,,,,,
304,PT03M35.00S,2021-04-14T03:09:23.8Z,2,REGULAR,rebound,offensive,[],1628369,,,1610612738,49,49,2021-04-14T03:09:24Z,3030000,,,0,,J. Tatum REBOUND (Off:1 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,303.0,6.0,5.0,1.0,,,,,
305,PT03M23.00S,2021-04-14T03:09:36.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,93.11760840998686,46.14736519607843,1610612738,49,49,2021-04-14T03:09:39Z,3040000,-19.0,12.0,1,right,MISS R. Williams III driving Layup,[1629057],1610612738.0,BOS,driving,,,Williams III,R. Williams III,,,,,2.28,Missed,,,,,,,,,,,,,,,,,,,
306,PT03M20.00S,2021-04-14T03:09:39.2Z,2,REGULAR,rebound,defensive,[],1626181,,,1610612757,49,49,2021-04-14T03:09:39Z,3050000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,305.0,1.0,1.0,0.0,,,,,
307,PT03M16.00S,2021-04-14T03:09:45.8Z,2,REGULAR,foul,offensive,[],202683,,,1610612757,49,49,2021-04-14T03:09:57Z,3060000,,,0,,E. Kanter charge offensive FOUL (1 PF),"[202683, 202689]",1610612757.0,POR,charge,,,Kanter,E. Kanter,,,,,,,,,,,2002.0,1.0,0.0,Walker,202689.0,,,,,,,,,,
309,PT03M16.00S,2021-04-14T03:09:45.8Z,2,REGULAR,turnover,offensive foul,[],202683,,,1610612757,49,49,2021-04-14T03:09:45Z,3080000,,,0,,E. Kanter offensive foul TURNOVER (2 TO),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,2002.0,,,,,2.0,,,,,,,,,
310,PT03M16.00S,2021-04-14T03:09:58.9Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,49,49,2021-04-14T03:10:05Z,3090000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT03M16.00S,2021-04-14T03:09:58.9Z,2,REGULAR,substitution,in,[],1629641,,,1610612738,49,49,2021-04-14T03:10:05Z,3100000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT03M03.00S,2021-04-14T03:10:23.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,68.15045992115637,25.559129901960787,1610612738,49,52,2021-04-14T03:10:27Z,3110000,-122.0,247.0,1,right,J. Brown 27' 3PT  (11 PTS) (K. Walker 4 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.55,Made,11.0,K. Walker,202689.0,4.0,,,,,,,,,,,,,,,
315,PT02M46.00S,2021-04-14T03:10:41.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202683,6.521024967148489,47.127757352941174,1610612757,49,52,2021-04-14T03:10:45Z,3130000,14.0,9.0,1,left,MISS E. Kanter cutting Layup,[202683],1610612757.0,POR,cutting,,,Kanter,E. Kanter,,,,,1.69,Missed,,,,,,,,,,,,,,,,,,,
316,PT02M44.00S,2021-04-14T03:10:43.5Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,49,52,2021-04-14T03:10:45Z,3140000,,,0,,K. Walker REBOUND (Off:0 Def:6),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,315.0,6.0,6.0,0.0,,,,,
317,PT02M41.00S,2021-04-14T03:10:45.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203935,85.23324572930355,94.43167892156863,1610612738,49,55,2021-04-14T03:10:51Z,3150000,222.0,86.0,1,right,M. Smart 3PT running (8 PTS) (K. Walker 5 AST),"[203935, 202689]",1610612738.0,BOS,running,,,Smart,M. Smart,,,,,23.84,Made,8.0,K. Walker,202689.0,5.0,,,,,,,,,,,,,,,
319,PT02M23.00S,2021-04-14T03:11:06.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,5.863994743758213,45.41207107843137,1610612757,51,55,2021-04-14T03:11:15Z,3170000,23.0,3.0,1,left,N. Powell fadeaway Jump Shot (12 PTS) (R. Covington 3 AST),"[1626181, 203496]",1610612757.0,POR,fadeaway,,,Powell,N. Powell,,,,,2.3,Made,12.0,R. Covington,203496.0,3.0,,,,,,,,,,,,,,,
321,PT02M08.00S,2021-04-14T03:11:21.8Z,2,REGULAR,3pt,Jump Shot,[],202689,66.83639947437582,61.09834558823529,1610612738,51,55,2021-04-14T03:11:25Z,3190000,55.0,259.0,1,right,MISS K. Walker 26' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.51,Missed,,,,,,,,,,,,,,,,,,,
322,PT02M06.00S,2021-04-14T03:11:23.8Z,2,REGULAR,rebound,defensive,[],202683,,,1610612757,51,55,2021-04-14T03:11:25Z,3200000,,,0,,E. Kanter REBOUND (Off:2 Def:4),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,321.0,6.0,4.0,2.0,,,,,
323,PT01M57.00S,2021-04-14T03:11:32.4Z,2,REGULAR,2pt,Jump Shot,[],203081,13.748357424441524,21.39246323529412,1610612757,51,55,2021-04-14T03:11:36Z,3210000,143.0,77.0,1,left,MISS D. Lillard 16' pullup Shot,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,16.23,Missed,,,,,,,,,,,,,,,,,,,
324,PT01M55.00S,2021-04-14T03:11:35.6Z,2,REGULAR,rebound,offensive,[],1629642,,,1610612757,51,55,2021-04-14T03:11:35Z,3220000,,,0,,N. Little REBOUND (Off:1 Def:0),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,323.0,1.0,0.0,1.0,,,,,
325,PT01M53.00S,2021-04-14T03:11:39.7Z,2,REGULAR,foul,offensive,[],203496,,,1610612757,51,55,2021-04-14T03:11:45Z,3230000,,,0,,R. Covington offensive FOUL (1 PF),"[203496, 1629641]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,2002.0,1.0,0.0,Langford,1629641.0,,,,,,,,,,
327,PT01M53.00S,2021-04-14T03:11:39.7Z,2,REGULAR,turnover,offensive foul,[],203496,,,1610612757,51,55,2021-04-14T03:11:39Z,3250000,,,0,,R. Covington offensive foul TURNOVER (1 TO),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,2002.0,,,,,1.0,,,,,,,,,
328,PT01M53.00S,2021-04-14T03:11:46.3Z,2,REGULAR,substitution,out,[],1629642,,,1610612738,51,55,2021-04-14T03:11:56Z,3260000,,,0,,SUB out: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT01M53.00S,2021-04-14T03:11:46.3Z,2,REGULAR,substitution,in,[],203468,,,1610612738,51,55,2021-04-14T03:11:56Z,3270000,,,0,,SUB in: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT01M47.00S,2021-04-14T03:12:03.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,90.3580814717477,41.98069852941176,1610612738,51,57,2021-04-14T03:12:08Z,3280000,-40.0,38.0,1,right,J. Brown driving floating bank Jump Shot (13 PTS) (M. Smart 5 AST),"[1627759, 203935]",1610612738.0,BOS,driving floating bank,,,Brown,J. Brown,,,,,5.53,Made,13.0,M. Smart,203935.0,5.0,,,,,,,,,,,,,,,
332,PT01M38.00S,2021-04-14T03:12:15.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612757,51,57,2021-04-14T03:12:26Z,3300000,,,0,,J. Brown shooting personal FOUL (2 PF) (Lillard 2 FT),"[1627759, 203081]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,2002.0,2.0,0.0,Lillard,203081.0,,,,,,,,,,
334,PT01M38.00S,2021-04-14T03:12:42.8Z,2,REGULAR,freethrow,1 of 2,[],203081,,,1610612757,52,57,2021-04-14T03:12:42Z,3320000,,,0,,D. Lillard Free Throw 1 of 2 (10 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
335,PT01M38.00S,2021-04-14T03:12:43.5Z,2,REGULAR,substitution,out,[],202683,,,1610612757,52,57,2021-04-14T03:12:46Z,3330000,,,0,,SUB out: E. Kanter,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT01M38.00S,2021-04-14T03:12:43.5Z,2,REGULAR,substitution,in,[],203994,,,1610612757,52,57,2021-04-14T03:12:46Z,3340000,,,0,,SUB in: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
337,PT01M38.00S,2021-04-14T03:13:01.1Z,2,REGULAR,freethrow,2 of 2,[],203081,,,1610612757,53,57,2021-04-14T03:13:01Z,3350000,,,0,,D. Lillard Free Throw 2 of 2 (11 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,Made,11.0,,,,,,,,,,,,,,,,,,
338,PT01M28.00S,2021-04-14T03:13:13.4Z,2,REGULAR,3pt,Jump Shot,[],202689,87.07293035479631,96.14736519607843,1610612738,53,57,2021-04-14T03:13:18Z,3360000,231.0,69.0,1,right,MISS K. Walker 24' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,24.08,Missed,,,,,,,,,,,,,,,,,,,
339,PT01M25.00S,2021-04-14T03:13:16.4Z,2,REGULAR,rebound,defensive,[],203994,,,1610612757,53,57,2021-04-14T03:13:18Z,3370000,,,0,,J. Nurkic REBOUND (Off:0 Def:5),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,338.0,5.0,5.0,0.0,,,,,
340,PT01M10.00S,2021-04-14T03:13:30.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203994,6.1268068331143235,47.86305147058824,1610612757,55,57,2021-04-14T03:13:35Z,3380000,11.0,5.0,1,left,J. Nurkic cutting Layup (4 PTS) (N. Powell 1 AST),"[203994, 1626181]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,1.19,Made,4.0,N. Powell,1626181.0,1.0,,,,,,,,,,,,,,,
342,PT01M04.00S,2021-04-14T03:13:39.3Z,2,REGULAR,turnover,bad pass,[],203935,,,1610612738,55,57,2021-04-14T03:20:38Z,3482500,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203994]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,1.0,,,,,Nurkic,203994.0,,,
343,PT01M04.00S,2021-04-14T03:13:39.3Z,2,REGULAR,steal,,[],203994,,,1610612757,55,57,2021-04-14T03:13:41Z,3483750,,,0,,J. Nurkic STEAL (2 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT01M03.00S,2021-04-14T03:14:10.2Z,2,REGULAR,turnover,out-of-bounds,[],203994,,,1610612757,55,57,2021-04-14T03:20:21Z,3485000,,,0,,J. Nurkic step out-of-bounds TURNOVER (1 TO),[203994],1610612757.0,POR,step,,,Nurkic,J. Nurkic,,,,,,,,,,,2002.0,,,,,1.0,,,,,,,,,
345,PT01M01.00S,2021-04-14T03:14:28.2Z,2,REGULAR,turnover,bad pass,[],203935,,,1610612738,55,57,2021-04-14T03:23:26Z,3487500,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 1626181]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,2.0,,,,,Powell,1626181.0,,,
346,PT01M01.00S,2021-04-14T03:14:28.2Z,2,REGULAR,steal,,[],1626181,,,1610612757,55,57,2021-04-14T03:39:39Z,3488750,,,0,,N. Powell STEAL (1 STL),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT00M56.00S,2021-04-14T03:14:32.3Z,2,REGULAR,turnover,bad pass,[],203081,,,1610612757,55,57,2021-04-14T03:36:33Z,3489375,,,0,,D. Lillard bad pass TURNOVER (3 TO),"[203081, 202689]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,3.0,,,,,Walker,202689.0,,,
348,PT00M56.00S,2021-04-14T03:14:32.3Z,2,REGULAR,steal,,[],202689,,,1610612738,55,57,2021-04-14T03:14:34Z,3489687,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT00M54.00S,2021-04-14T03:14:36.3Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,89.83245729303549,42.96109068627451,1610612738,55,57,2021-04-14T03:26:25Z,3489843,-35.0,43.0,1,right,MISS J. Brown driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,5.56,Missed,,,,,,,,,,,,,,,,,,,
350,PT00M53.00S,2021-04-14T03:14:37.3Z,2,REGULAR,rebound,defensive,[],203994,,,1610612757,55,57,2021-04-14T03:25:23Z,3489921,,,0,,J. Nurkic REBOUND (Off:0 Def:6),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,349.0,6.0,6.0,0.0,,,,,
351,PT00M52.00S,2021-04-14T03:16:49.1Z,2,REGULAR,stoppage,equipment issue,[],0,,,1610612757,55,57,2021-04-14T03:25:00Z,3490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,PT00M43.40S,2021-04-14T03:17:12.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203994,6.389618922470433,50.06893382352941,1610612757,57,57,2021-04-14T03:23:58Z,3500000,0.0,8.0,1,left,J. Nurkic cutting DUNK (6 PTS) (D. Lillard 3 AST),"[203994, 203081]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,0.76,Made,6.0,D. Lillard,203081.0,3.0,,,,,,,,,,,,,,,
354,PT00M33.90S,2021-04-14T03:17:24.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,92.9862023653088,51.294424019607845,1610612738,57,57,2021-04-14T03:17:29Z,3520000,6.0,13.0,1,right,MISS K. Walker driving floating bank Shot,[202689],1610612738.0,BOS,driving floating bank,,,Walker,K. Walker,,,,,1.49,Missed,,,,,,,,,,,,,,,,,,,
355,PT00M31.60S,2021-04-14T03:17:26.6Z,2,REGULAR,rebound,defensive,[],1626181,,,1610612757,57,57,2021-04-14T03:17:31Z,3530000,,,0,,N. Powell REBOUND (Off:0 Def:2),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,354.0,2.0,2.0,0.0,,,,,
356,PT00M19.80S,2021-04-14T03:17:38.1Z,2,REGULAR,3pt,Jump Shot,[],1626181,6.389618922470433,4.235600490196079,1610612757,60,57,2021-04-14T03:17:43Z,3540000,229.0,8.0,1,left,N. Powell 3PT  (15 PTS) (D. Lillard 4 AST),"[1626181, 203081]",1610612757.0,POR,,,,Powell,N. Powell,,,,,22.89,Made,15.0,D. Lillard,203081.0,4.0,,,,,,,,,,,,,,,
358,PT00M03.60S,2021-04-14T03:18:09.9Z,2,REGULAR,foul,personal,[],203468,,,1610612738,60,57,2021-04-14T03:18:23Z,3560000,,,0,,C. McCollum personal FOUL (2 PF),"[203468, 203935]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,2002.0,2.0,0.0,Smart,203935.0,,,,,,,,,,
360,PT00M03.60S,2021-04-14T03:18:23.2Z,2,REGULAR,substitution,out,[],1629641,,,1610612738,60,57,2021-04-14T03:18:27Z,3580000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
361,PT00M03.60S,2021-04-14T03:18:23.2Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,60,57,2021-04-14T03:18:27Z,3590000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
362,PT00M00.70S,2021-04-14T03:18:49.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203468,,,1610612738,60,57,2021-04-14T03:19:52Z,3600000,,,0,,C. McCollum shooting personal FOUL (3 PF) (Tatum 2 FT),"[203468, 1628369]",1610612757.0,POR,shooting,,,McCollum,C. McCollum,,,,,,,,,,,2715.0,3.0,0.0,Tatum,1628369.0,,,,,,,,,,
364,PT00M00.70S,2021-04-14T03:19:05.7Z,2,REGULAR,instantreplay,request,[],0,,,1610612738,60,57,2021-04-14T03:27:38Z,3620000,,,0,,,[],,,support,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,,Foul occurred prior to expiration of time
365,PT00M00.70S,2021-04-14T03:20:01.5Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,60,57,2021-04-14T03:20:27Z,3630000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
366,PT00M00.70S,2021-04-14T03:20:01.5Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,60,57,2021-04-14T03:20:27Z,3640000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,365.0,,,,,,,,
